"Main use","Detailed use","Used part","crop_code"
"food & beverage","vitamins","fruits","289"
"food & beverage","minerals","fruits","289"
"food & beverage","protein","fruits","289"
"food & beverage","lipids","seeds","289"
"material","lipids/oil & fats","seeds","289"
"material","fibres","bark","289"
"medicinal","","fruits","289"
"food & beverage","vitamins","leaves","290"
"food & beverage","minerals","leaves","290"
"food & beverage","vitamins","bulbs","290"
"food & beverage","minerals","roots","290"
"environmental","ornamental/turf","entire plant","290"
"medicinal","","","290"
"environmental","ornamental/turf","entire plant","291"
"material","essential oils","seeds","291"
"medicinal","genitourinary system applications","seeds","291"
"medicinal","blood system applications","seeds","291"
"medicinal","digestive system applications","seeds","291"
"medicinal","nervous system applications","seeds","291"
"medicinal","genitourinary system applications","roots","291"
"medicinal","genitourinary system applications","leaves","291"
"material","dye/tannin","stems","295"
"material","timber wood","bark","295"
"material","other material/chemicals","bark","295"
"material","paper","bark","295"
"non-vertebrate food","minerals","leaves","295"
"fuels","fuelwood","bark","295"
"fuels","charcoal","bark","295"
"environmental","shade & shelter","entire plant","295"
"environmental","ornamental/turf","entire plant","295"
"environmental","revegetation","entire plant","295"
"environmental","agroforestry","entire plant","295"
"environmental","erosion control","entire plant","295"
"environmental","ornamental/turf","entire plant","297"
"environmental","shade & shelter","entire plant","297"
"environmental","erosion control","entire plant","297"
"material","dye/tannin","fruits","297"
"material","essential oils","flowers","297"
"material","gums/resins","exudates","297"
"material","cosmetics & perfumery","flowers","297"
"material","dye/tannin","stems","297"
"material","timber wood","bark","297"
"poison","mammals","seeds","297"
"medicinal","blood system applications","stems","297"
"medicinal","skin applications","stems","297"
"medicinal","muscular/skeletal applications","leaves","297"
"medicinal","muscular/skeletal applications","roots","297"
"medicinal","metabolic system applications","leaves","297"
"medicinal","metabolic system applications","roots","297"
"medicinal","digestive system applications","flowers","297"
"fuels","fuelwood","bark","297"
"animal food (feed)","protein","fruits","297"
"fuels","fuelwood","bark","298"
"fuels","charcoal","bark","298"
"environmental","shade & shelter","entire plant","298"
"environmental","windbreak","entire plant","298"
"environmental","revegetation","entire plant","298"
"environmental","nitrogen fixation","roots","298"
"environmental","ornamental/turf","entire plant","298"
"food & beverage","protein","seeds","318"
"food & beverage","lipids","seeds","318"
"food & beverage","vitamins","seeds","318"
"poison","mammals","seeds","318"
"food & beverage","protein","leaves","318"
"food & beverage","vitamins","leaves","318"
"animal food (feed)","protein","leaves","318"
"animal food (feed)","vitamins","leaves","318"
"material","timber wood","bark","318"
"medicinal","blood system applications","leaves","318"
"medicinal","muscular/skeletal applications","leaves","318"
"medicinal","digestive system applications","stems","318"
"medicinal","immune system applications","stems","318"
"medicinal","sensory applications","bark","318"
"fuels","fuelwood","bark","318"
"environmental","shade & shelter","entire plant","318"
"environmental","ornamental/turf","entire plant","318"
"environmental","manure/fertilizer","leaves","318"
"animal food (feed)","vitamins","entire plant","326"
"animal food (feed)","minerals","entire plant","326"
"material","timber wood","bark","329"
"environmental","pioneer","entire plant","331"
"material","timber wood","bark","333"
"material","fibres","leaves","339"
"environmental","agroforestry","entire plant","339"
"animal food (feed)","vitamins","leaves","347"
"animal food (feed)","minerals","leaves","347"
"material","timber wood","bark","347"
"material","fibres","bark","347"
"material","paper","bark","347"
"fuels","fuelwood","bark","347"
"fuels","charcoal","bark","347"
"environmental","revegetation","entire plant","347"
"environmental","shade & shelter","entire plant","347"
"environmental","agroforestry","entire plant","347"
"environmental","ornamental/turf","entire plant","347"
"animal food (feed)","vitamins","leaves","349"
"animal food (feed)","minerals","leaves","349"
"material","gums/resins","exudates","349"
"material","dye/tannin","stems","349"
"material","timber wood","bark","349"
"material","honey","flowers","349"
"fuels","fuelwood","bark","349"
"fuels","charcoal","bark","349"
"medicinal","","entire plant","349"
"environmental","shade & shelter","entire plant","349"
"environmental","erosion control","entire plant","349"
"environmental","ornamental/turf","entire plant","349"
"environmental","manure/fertilizer","leaves","349"
"environmental","nitrogen fixation","roots","349"
"material","timber wood","bark","350"
"material","dye/tannin","stems","350"
"fuels","fuelwood","bark","350"
"fuels","charcoal","bark","350"
"environmental","shade & shelter","entire plant","350"
"environmental","firebreaks","entire plant","350"
"environmental","revegetation","entire plant","350"
"environmental","erosion control","entire plant","350"
"environmental","nitrogen fixation","roots","350"
"material","timber wood","bark","352"
"environmental","shade & shelter","entire plant","352"
"material","lipids/oil & fats","seeds","353"
"environmental","manure/fertilizer","seeds","353"
"fuels","petroleum substitutes/alcohol","seeds","353"
"material","lipids/oil & fats","seeds","354"
"food & beverage","lipids","seeds","354"
"food & beverage","minerals","seeds","354"
"poison","mammals","seeds","354"
"material","timber wood","bark","354"
"material","dye/tannin","stems","354"
"fuels","fuelwood","bark","354"
"medicinal","digestive system applications","seeds","354"
"medicinal","sensory applications","seeds","354"
"medicinal","muscular/skeletal applications","seeds","354"
"medicinal","immune system applications","seeds","354"
"medicinal","digestive system applications","stems","354"
"medicinal","sensory applications","leaves","354"
"medicinal","genitourinary system applications","leaves","354"
"environmental","shade & shelter","entire plant","354"
"environmental","ornamental/turf","entire plant","354"
"environmental","manure/fertilizer","seeds","354"
"fuels","petroleum substitutes/alcohol","seeds","354"
"material","lipids/oil & fats","seeds","355"
"environmental","manure/fertilizer","seeds","355"
"fuels","petroleum substitutes/alcohol","seeds","355"
"food & beverage","vitamins","entire plant","363"
"food & beverage","minerals","entire plant","363"
"food & beverage","vitamins","entire plant","364"
"medicinal","digestive system applications","entire plant","364"
"medicinal","immune system applications","entire plant","364"
"medicinal","blood system applications","entire plant","364"
"medicinal","skin applications","entire plant","364"
"medicinal","sensory applications","entire plant","364"
"medicinal","respiratory applications","entire plant","364"
"medicinal","muscular/skeletal applications","entire plant","364"
"food & beverage","vitamins","entire plant","365"
"food & beverage","minerals","entire plant","365"
"food additive","condiment/seasoning","leaves","367"
"medicinal","immune system applications","leaves","367"
"medicinal","blood system applications","leaves","367"
"medicinal","digestive system applications","leaves","367"
"medicinal","nervous system applications","leaves","367"
"medicinal","muscular/skeletal applications","leaves","367"
"medicinal","skin applications","leaves","367"
"medicinal","nutritional applications","leaves","367"
"material","timber wood","bark","379"
"material","paper","bark","379"
"material","fibres","stems","379"
"material","essential oils","flowers","379"
"medicinal","sensory applications","stems","379"
"medicinal","dental applications","exudates","379"
"medicinal","digestive system applications","stems","379"
"medicinal","endocrine system applications","leaves","379"
"fuels","fuelwood","bark","379"
"fuels","charcoal","bark","379"
"environmental","ornamental/turf","entire plant","379"
"food & beverage","protein","seeds","390"
"food & beverage","vitamins","leaves","390"
"animal food (feed)","protein","entire plant","390"
"animal food (feed)","vitamins","leaves","390"
"environmental","ornamental/turf","entire plant","390"
"fuels","non-wood fuel","bark","390"
"food & beverage","vitamins","leaves","391"
"food & beverage","minerals","leaves","391"
"food & beverage","protein","seeds","391"
"food & beverage","minerals","seeds","391"
"material","fibres","bark","391"
"food & beverage","vitamins","roots","400"
"food & beverage","minerals","roots","400"
"food & beverage","vitamins","leaves","400"
"food & beverage","minerals","leaves","400"
"food & beverage","vitamins","fruits","401"
"food & beverage","minerals","fruits","401"
"food & beverage","protein","seeds","401"
"food & beverage","minerals","seeds","401"
"medicinal","digestive system applications","stems","401"
"medicinal","respiratory applications","leaves","401"
"medicinal","nutritional applications","leaves","401"
"medicinal","endocrine system applications","stems","401"
"medicinal","skin applications","leaves","401"
"material","dye/tannin","stems","401"
"material","lipids/oil & fats","seeds","401"
"material","timber wood","bark","401"
"environmental","shade & shelter","entire plant","401"
"environmental","living fence","entire plant","401"
"environmental","erosion control","entire plant","401"
"fuels","fuelwood","bark","401"
"fuels","charcoal","bark","401"
"food & beverage","vitamins","fruits","402"
"food & beverage","minerals","fruits","402"
"food & beverage","sugar","fruits","402"
"food additive","condiment/seasoning","leaves","402"
"material","fibres","fruits","402"
"food & beverage","vitamins","fruits","411"
"food & beverage","minerals","fruits","411"
"food & beverage","minerals","leaves","411"
"poison","mites/arachnids","seeds","411"
"poison","molluscs","roots","411"
"poison","fish","fruits","411"
"medicinal","skin applications","leaves","411"
"medicinal","muscular/skeletal applications","leaves","411"
"medicinal","respiratory applications","leaves","411"
"medicinal","digestive system applications","leaves","411"
"medicinal","digestive system applications","seeds","411"
"medicinal","nervous system applications","leaves","411"
"medicinal","respiratory applications","flowers","411"
"medicinal","blood system applications","stems","411"
"environmental","agroforestry","entire plant","411"
"food & beverage","vitamins","fruits","412"
"food & beverage","minerals","fruits","412"
"material","dye/tannin","leaves","412"
"material","fibres","bark","412"
"medicinal","","leaves","412"
"medicinal","","fruits","412"
"poison","insects","seeds","412"
"poison","insects","leaves","412"
"poison","insects","fruits","412"
"poison","mammals","seeds","412"
"poison","mammals","leaves","412"
"food & beverage","vitamins","fruits","414"
"food & beverage","minerals","fruits","414"
"poison","insects","seeds","414"
"poison","mites/arachnids","seeds","414"
"poison","fish","seeds","414"
"poison","mammals","seeds","414"
"material","cosmetics & perfumery","seeds","414"
"material","fibres","stems","414"
"material","lipids/oil & fats","seeds","414"
"medicinal","nervous system applications","leaves","414"
"medicinal","skin applications","leaves","414"
"medicinal","genitourinary system applications","leaves","414"
"medicinal","immune system applications","leaves","414"
"medicinal","digestive system applications","leaves","414"
"medicinal","muscular/skeletal applications","leaves","414"
"medicinal","blood system applications","fruits","414"
"medicinal","digestive system applications","fruits","414"
"medicinal","blood system applications","stems","414"
"medicinal","blood system applications","roots","414"
"environmental","agroforestry","entire plant","414"
"fuels","fuelwood","bark","418"
"material","timber wood","bark","418"
"environmental","ornamental/turf","entire plant","418"
"environmental","shade & shelter","entire plant","418"
"environmental","agroforestry","entire plant","418"
"medicinal","digestive system applications","roots","431"
"medicinal","nutritional applications","roots","431"
"medicinal","metabolic system applications","roots","431"
"medicinal","digestive system applications","leaves","431"
"medicinal","nutritional applications","leaves","431"
"medicinal","metabolic system applications","leaves","431"
"medicinal","digestive system applications","seeds","431"
"medicinal","nutritional applications","seeds","431"
"medicinal","metabolic system applications","seeds","431"
"food & beverage","vitamins","leaves","431"
"food & beverage","vitamins","roots","431"
"material","essential oils","seeds","431"
"food & beverage","vitamins","leaves","432"
"food & beverage","minerals","leaves","432"
"food additive","condiment/seasoning","leaves","432"
"food additive","condiment/seasoning","seeds","432"
"material","essential oils","fruits","432"
"food & beverage","protein","seeds","443"
"food & beverage","minerals","seeds","443"
"material","timber wood","bark","443"
"environmental","ornamental/turf","entire plant","443"
"food & beverage","minerals","seeds","449"
"food additive","condiment/seasoning","seeds","449"
"medicinal","","seeds","449"
"environmental","ornamental/turf","entire plant","449"
"environmental","agroforestry","entire plant","449"
"food & beverage","vitamins","fruits","459"
"food & beverage","minerals","fruits","459"
"food & beverage","protein","seeds","459"
"food & beverage","minerals","seeds","459"
"food additive","condiment/seasoning","fruits","459"
"animal food (feed)","protein","leaves","459"
"animal food (feed)","minerals","leaves","459"
"material","dye/tannin","stems","459"
"material","dye/tannin","bark","459"
"material","latex/rubber","exudates","459"
"material","timber wood","bark","459"
"material","timber wood","roots","459"
"medicinal","nutritional applications","fruits","459"
"medicinal","nutritional applications","seeds","459"
"medicinal","skin applications","stems","459"
"medicinal","nervous system applications","bark","459"
"medicinal","digestive system applications","roots","459"
"medicinal","skin applications","leaves","459"
"environmental","shade & shelter","entire plant","459"
"environmental","agroforestry","entire plant","459"
"fuels","fuelwood","bark","459"
"material","canes","bark","465"
"animal food (feed)","minerals","leaves","465"
"medicinal","digestive system applications","roots","465"
"medicinal","respiratory applications","roots","465"
"food & beverage","starch","roots","465"
"food & beverage","vitamins","bark","468"
"food & beverage","vitamins","bark","468"
"food & beverage","protein","bark","468"
"medicinal","digestive system applications","roots","468"
"medicinal","blood system applications","roots","468"
"medicinal","endocrine system applications","roots","468"
"environmental","erosion control","entire plant","478"
"animal food (feed)","minerals","entire plant","478"
"animal food (feed)","vitamins","entire plant","478"
"material","honey","fruits","478"
"food & beverage","starch","seeds","481"
"food & beverage","protein","seeds","481"
"food & beverage","minerals","seeds","481"
"animal food (feed)","starch","seeds","481"
"animal food (feed)","protein","seeds","481"
"animal food (feed)","minerals","seeds","481"
"material","cosmetics & perfumery","seeds","481"
"medicinal","muscular/skeletal applications","seeds","481"
"medicinal","skin applications","seeds","481"
"medicinal","digestive system applications","seeds","481"
"medicinal","nervous system applications","seeds","481"
"medicinal","muscular/skeletal applications","leaves","481"
"medicinal","skin applications","leaves","481"
"medicinal","nervous system applications","leaves","481"
"fuels","non-wood fuel","bark","481"
"food & beverage","vitamins","fruits","482"
"food & beverage","minerals","fruits","482"
"food additive","condiment/seasoning","fruits","482"
"material","dye/tannin","flowers","482"
"fuels","fuelwood","bark","482"
"medicinal","","fruits","482"
"medicinal","","leaves","482"
"medicinal","","flowers","482"
"environmental","agroforestry","entire plant","482"
"food & beverage","vitamins","fruits","483"
"food & beverage","minerals","fruits","483"
"material","timber wood","bark","483"
"medicinal","blood system applications","fruits","483"
"medicinal","immune system applications","fruits","483"
"medicinal","genitourinary system applications","fruits","483"
"medicinal","skin applications","fruits","483"
"medicinal","digestive system applications","fruits","483"
"medicinal","digestive system applications","leaves","483"
"medicinal","sensory applications","leaves","483"
"medicinal","skin applications","flowers","483"
"medicinal","nervous system applications","seeds","483"
"medicinal","genitourinary system applications","seeds","483"
"animal food (feed)","vitamins","entire plant","485"
"animal food (feed)","minerals","entire plant","485"
"environmental","erosion control","entire plant","485"
"environmental","ornamental/turf","entire plant","485"
"material","fibres","bark","493"
"material","canes","bark","493"
"food & beverage","vitamins","bulbs","493"
"food & beverage","minerals","bulbs","493"
"environmental","shade & shelter","entire plant","493"
"environmental","erosion control","entire plant","493"
"environmental","agroforestry","entire plant","493"
"food & beverage","vitamins","leaves","501"
"food & beverage","minerals","leaves","501"
"food & beverage","starch","seeds","501"
"material","fibres","stems","501"
"material","dye/tannin","stems","501"
"fuels","fuelwood","bark","501"
"poison","mammals","entire plant","501"
"poison","fish","entire plant","501"
"poison","insects","entire plant","501"
"medicinal","respiratory applications","fruits","501"
"medicinal","digestive system applications","fruits","501"
"medicinal","immune system applications","seeds","501"
"medicinal","blood system applications","leaves","501"
"environmental","ornamental/turf","entire plant","501"
"food & beverage","vitamins","leaves","504"
"food & beverage","minerals","leaves","504"
"food & beverage","vitamins","bark","504"
"food & beverage","minerals","bark","504"
"food & beverage","vitamins","leaves","505"
"food & beverage","minerals","leaves","505"
"food & beverage","vitamins","bark","505"
"food & beverage","minerals","bark","505"
"environmental","ornamental/turf","entire plant","505"
"food & beverage","vitamins","leaves","508"
"food & beverage","minerals","leaves","508"
"food & beverage","vitamins","flowers","508"
"food & beverage","minerals","flowers","508"
"animal food (feed)","vitamins","leaves","508"
"animal food (feed)","minerals","leaves","508"
"material","fibres","stems","508"
"material","gums/resins","stems","508"
"material","dye/tannin","stems","508"
"material","lipids/oil & fats","seeds","508"
"fuels","fuelwood","bark","508"
"medicinal","digestive system applications","stems","508"
"medicinal","skin applications","stems","508"
"environmental","ornamental/turf","entire plant","508"
"food & beverage","vitamins","fruits","513"
"food & beverage","minerals","fruits","513"
"food & beverage","vitamins","leaves","513"
"food & beverage","minerals","leaves","513"
"food & beverage","vitamins","flowers","513"
"food & beverage","minerals","flowers","513"
"food & beverage","protein","seeds","513"
"food & beverage","minerals","seeds","513"
"material","lipids/oil & fats","seeds","513"
"material","waxes","fruits","513"
"food & beverage","vitamins","leaves","514"
"food & beverage","minerals","leaves","514"
"animal food (feed)","vitamins","roots","514"
"animal food (feed)","minerals","roots","514"
"medicinal","","leaves","514"
"food & beverage","vitamins","leaves","517"
"food & beverage","minerals","leaves","517"
"medicinal","blood system applications","entire plant","517"
"medicinal","immune system applications","entire plant","517"
"medicinal","respiratory applications","entire plant","517"
"medicinal","endocrine system applications","entire plant","517"
"medicinal","genitourinary system applications","entire plant","517"
"environmental","ornamental/turf","entire plant","517"
"food additive","colorant","fruits","520"
"food additive","condiment/seasoning","seeds","520"
"material","dye/tannin","fruits","520"
"material","timber wood","bark","520"
"material","fibres","stems","520"
"material","gums/resins","exudates","520"
"medicinal","blood system applications","leaves","520"
"medicinal","nutritional applications","leaves","520"
"medicinal","skin applications","leaves","520"
"medicinal","immune system applications","leaves","520"
"medicinal","respiratory applications","leaves","520"
"medicinal","blood system applications","stems","520"
"medicinal","nutritional applications","stems","520"
"medicinal","skin applications","stems","520"
"medicinal","nervous system applications","stems","520"
"medicinal","immune system applications","stems","520"
"medicinal","genitourinary system applications","seeds","520"
"medicinal","respiratory applications","seeds","520"
"medicinal","genitourinary system applications","bulbs","520"
"medicinal","blood system applications","bulbs","520"
"medicinal","skin applications","bulbs","520"
"medicinal","digestive system applications","flowers","520"
"medicinal","digestive system applications","roots","520"
"environmental","ornamental/turf","entire plant","520"
"environmental","agroforestry","entire plant","520"
"environmental","erosion control","entire plant","530"
"animal food (feed)","minerals","entire plant","530"
"animal food (feed)","vitamins","entire plant","530"
"animal food (feed)","vitamins","entire plant","536"
"animal food (feed)","minerals","entire plant","536"
"environmental","erosion control","entire plant","536"
"environmental","ornamental/turf","entire plant","536"
"environmental","living fence","entire plant","536"
"animal food (feed)","vitamins","entire plant","537"
"animal food (feed)","minerals","entire plant","537"
"environmental","erosion control","entire plant","537"
"animal food (feed)","vitamins","entire plant","538"
"animal food (feed)","minerals","entire plant","538"
"environmental","erosion control","entire plant","538"
"animal food (feed)","minerals","entire plant","539"
"animal food (feed)","vitamins","entire plant","539"
"animal food (feed)","minerals","entire plant","540"
"animal food (feed)","vitamins","entire plant","540"
"animal food (feed)","minerals","entire plant","543"
"animal food (feed)","vitamins","entire plant","543"
"environmental","pioneer","entire plant","543"
"environmental","shade & shelter","entire plant","545"
"fuels","fuelwood","bark","545"
"animal food (feed)","minerals","leaves","545"
"food & beverage","vitamins","fruits","545"
"food & beverage","minerals","fruits","545"
"food & beverage","minerals","flowers","545"
"material","fibres","bark","545"
"material","timber wood","bark","545"
"food & beverage","vitamins","leaves","547"
"food & beverage","minerals","leaves","547"
"material","lipids/oil & fats","seeds","547"
"food & beverage","vitamins","leaves","548"
"food & beverage","minerals","leaves","548"
"food additive","condiment/seasoning","leaves","548"
"material","lipids/oil & fats","seeds","548"
"food & beverage","protein","seeds","549"
"food & beverage","vitamins","seeds","549"
"food & beverage","minerals","seeds","549"
"animal food (feed)","protein","entire plant","549"
"animal food (feed)","vitamins","entire plant","549"
"animal food (feed)","minerals","entire plant","549"
"material","lipids/oil & fats","seeds","549"
"fuels","petroleum substitutes/alcohol","seeds","549"
"material","lipids/oil & fats","seeds","550"
"food additive","condiment/seasoning","seeds","550"
"food & beverage","vitamins","rhizomes","551"
"food & beverage","minerals","rhizomes","551"
"environmental","agroforestry","entire plant","551"
"food & beverage","vitamins","flowers","553"
"food & beverage","minerals","flowers","553"
"food & beverage","vitamins","bark","553"
"food & beverage","minerals","bark","553"
"food & beverage","vitamins","leaves","554"
"food & beverage","minerals","leaves","554"
"food & beverage","vitamins","unspecified part","555"
"food & beverage","minerals","unspecified part","555"
"food & beverage","vitamins","flowers","556"
"food & beverage","minerals","flowers","556"
"food & beverage","vitamins","fruits","565"
"medicinal","metabolic system applications","leaves","565"
"medicinal","digestive system applications","leaves","565"
"medicinal","skin applications","leaves","565"
"medicinal","blood system applications","stems","565"
"medicinal","genitourinary system applications","fruits","565"
"medicinal","sensory applications","fruits","565"
"medicinal","digestive system applications","fruits","565"
"material","fibres","stems","565"
"material","paper","stems","565"
"material","timber wood","bark","565"
"environmental","ornamental/turf","entire plant","565"
"food & beverage","protein","fruits","576"
"food & beverage","vitamins","fruits","576"
"food & beverage","minerals","fruits","576"
"food & beverage","vitamins","leaves","576"
"food & beverage","minerals","leaves","576"
"food & beverage","vitamins","bulbs","576"
"food & beverage","minerals","bulbs","576"
"food & beverage","protein","seeds","576"
"food & beverage","vitamins","seeds","576"
"food & beverage","minerals","seeds","576"
"animal food (feed)","protein","fruits","576"
"animal food (feed)","vitamins","fruits","576"
"animal food (feed)","minerals","fruits","576"
"animal food (feed)","vitamins","leaves","576"
"animal food (feed)","minerals","leaves","576"
"non-vertebrate food","vitamins","leaves","576"
"non-vertebrate food","minerals","leaves","576"
"environmental","windbreak","entire plant","576"
"environmental","erosion control","entire plant","576"
"environmental","agroforestry","entire plant","576"
"fuels","charcoal","bark","576"
"fuels","fuelwood","bark","576"
"food & beverage","vitamins","fruits","588"
"food & beverage","minerals","fruits","588"
"fuels","non-wood fuel","seeds","588"
"medicinal","","seeds","588"
"medicinal","","exudates","588"
"medicinal","","stems","588"
"material","timber wood","bark","588"
"material","lipids/oil & fats","seeds","588"
"material","dye/tannin","stems","588"
"environmental","shade & shelter","entire plant","588"
"environmental","revegetation","entire plant","588"
"environmental","ornamental/turf","entire plant","588"
"food & beverage","vitamins","entire plant","594"
"food & beverage","minerals","entire plant","594"
"food additive","condiment/seasoning","entire plant","594"
"medicinal","","entire plant","594"
"animal food (feed)","vitamins","entire plant","595"
"animal food (feed)","minerals","entire plant","595"
"environmental","soil improvers","entire plant","595"
"environmental","erosion control","entire plant","595"
"environmental","cover crop","entire plant","595"
"environmental","erosion control","entire plant","596"
"environmental","soil improvers","entire plant","596"
"environmental","cover crop","entire plant","596"
"food & beverage","minerals","leaves","599"
"material","lipids/oil & fats","leaves","599"
"medicinal","muscular/skeletal applications","leaves","599"
"medicinal","nervous system applications","leaves","599"
"material","timber wood","bark","601"
"material","essential oils","flowers","603"
"material","aromatics","flowers","603"
"material","cosmetics & perfumery","flowers","603"
"environmental","ornamental/turf","flowers","603"
"environmental","agroforestry","entire plant","603"
"food & beverage","protein","seeds","606"
"food & beverage","vitamins","seeds","606"
"food & beverage","minerals","seeds","606"
"material","lipids/oil & fats","seeds","606"
"fuels","fuelwood","bark","606"
"environmental","ornamental/turf","entire plant","606"
"environmental","shade & shelter","entire plant","606"
"food & beverage","protein","seeds","609"
"food & beverage","minerals","seeds","609"
"food & beverage","protein","fruits","609"
"food & beverage","minerals","fruits","609"
"food & beverage","protein","bulbs","609"
"food & beverage","minerals","bulbs","609"
"animal food (feed)","protein","entire plant","609"
"animal food (feed)","minerals","entire plant","609"
"animal food (feed)","protein","seeds","609"
"animal food (feed)","minerals","seeds","609"
"animal food (feed)","protein","fruits","609"
"animal food (feed)","minerals","fruits","609"
"poison","mammals","seeds","609"
"poison","mammals","seeds","609"
"environmental","erosion control","entire plant","609"
"environmental","soil improvers","entire plant","609"
"environmental","revegetation","entire plant","609"
"environmental","manure/fertilizer","entire plant","609"
"environmental","nitrogen fixation","roots","609"
"environmental","cover crop","entire plant","609"
"medicinal","blood system applications","seeds","609"
"food & beverage","starch","roots","612"
"material","paper","leaves","612"
"material","fibres","leaves","612"
"material","dye/tannin","seeds","612"
"medicinal","respiratory applications","roots","612"
"medicinal","genitourinary system applications","roots","612"
"food & beverage","vitamins","fruits","618"
"food & beverage","minerals","fruits","618"
"food additive","condiment/seasoning","fruits","618"
"medicinal","digestive system applications","fruits","618"
"medicinal","blood system applications","fruits","618"
"medicinal","muscular/skeletal applications","fruits","618"
"medicinal","skin applications","","618"
"food & beverage","vitamins","fruits","621"
"food & beverage","minerals","fruits","621"
"food additive","condiment/seasoning","fruits","621"
"food & beverage","vitamins","fruits","630"
"food & beverage","minerals","fruits","630"
"food & beverage","vitamins","leaves","630"
"food & beverage","minerals","leaves","630"
"food additive","stabiliser","exudates","630"
"animal food (feed)","vitamins","leaves","630"
"animal food (feed)","minerals","leaves","630"
"medicinal","digestive system applications","seeds","630"
"medicinal","genitourinary system applications","seeds","630"
"medicinal","skin applications","exudates","630"
"medicinal","digestive system applications","exudates","630"
"social","smoking material","leaves","630"
"environmental","agroforestry","entire plant","630"
"food & beverage","protein","fruits","633"
"food & beverage","vitamins","fruits","633"
"food & beverage","minerals","fruits","633"
"medicinal","blood system applications","stems","633"
"medicinal","nervous system applications","stems","633"
"medicinal","muscular/skeletal applications","stems","633"
"medicinal","blood system applications","leaves","633"
"medicinal","nervous system applications","leaves","633"
"medicinal","muscular/skeletal applications","leaves","633"
"medicinal","blood system applications","seeds","633"
"medicinal","nervous system applications","seeds","633"
"medicinal","muscular/skeletal applications","seeds","633"
"environmental","ornamental/turf","entire plant","633"
"medicinal","","","634"
"poison","mammals","entire plant","634"
"poison","birds","entire plant","634"
"poison","fish","entire plant","634"
"material","timber wood","bark","635"
"material","dye/tannin","","635"
"environmental","ornamental/turf","entire plant","635"
"food & beverage","vitamins","seeds","639"
"food & beverage","minerals","seeds","639"
"food & beverage","vitamins","fruits","639"
"food & beverage","minerals","fruits","639"
"poison","mammals","seeds","639"
"environmental","nitrogen fixation","roots","639"
"environmental","ornamental/turf","entire plant","639"
"material","timber wood","bark","644"
"material","timber wood","bark","646"
"material","dye/tannin","stems","646"
"fuels","fuelwood","bark","646"
"fuels","charcoal","bark","646"
"medicinal","","stems","646"
"environmental","erosion control","entire plant","646"
"environmental","revegetation","entire plant","646"
"environmental","windbreak","entire plant","646"
"environmental","living fence","entire plant","646"
"environmental","ornamental/turf","entire plant","646"
"environmental","agroforestry","entire plant","646"
"environmental","nitrogen fixation","roots","646"
"fuels","fuelwood","bark","648"
"material","timber wood","bark","648"
"environmental","erosion control","entire plant","648"
"environmental","shade & shelter","entire plant","648"
"environmental","ornamental/turf","entire plant","652"
"medicinal","digestive system applications","leaves","652"
"medicinal","endocrine system applications","leaves","652"
"medicinal","respiratory applications","leaves","652"
"medicinal","blood system applications","leaves","652"
"medicinal","digestive system applications","roots","652"
"medicinal","endocrine system applications","roots","652"
"medicinal","respiratory applications","roots","652"
"medicinal","blood system applications","roots","652"
"material","timber wood","bark","656"
"material","honey","flowers","656"
"material","fibres","stems","656"
"fuels","fuelwood","bark","656"
"medicinal","sensory applications","roots","656"
"medicinal","sensory applications","stems","656"
"medicinal","","seeds","656"
"environmental","shade & shelter","entire plant","656"
"environmental","windbreak","entire plant","656"
"environmental","agroforestry","entire plant","656"
"environmental","ornamental/turf","entire plant","656"
"food & beverage","protein","seeds","658"
"food & beverage","lipids","seeds","658"
"animal food (feed)","protein","seeds","658"
"animal food (feed)","lipids","seeds","658"
"material","lipids/oil & fats","seeds","658"
"material","fibres","seeds","658"
"material","timber wood","bark","658"
"environmental","shade & shelter","entire plant","658"
"environmental","agroforestry","entire plant","658"
"food & beverage","vitamins","leaves","660"
"food & beverage","minerals","leaves","660"
"food & beverage","vitamins","bulbs","660"
"food & beverage","minerals","bulbs","660"
"animal food (feed)","vitamins","entire plant","666"
"animal food (feed)","minerals","entire plant","666"
"environmental","erosion control","entire plant","666"
"food & beverage","vitamins","entire plant","669"
"food & beverage","minerals","entire plant","669"
"medicinal","immune system applications","entire plant","669"
"medicinal","genitourinary system applications","entire plant","669"
"medicinal","endocrine system applications","entire plant","669"
"medicinal","digestive system applications","entire plant","669"
"medicinal","skin applications","entire plant","669"
"animal food (feed)","vitamins","entire plant","671"
"animal food (feed)","minerals","entire plant","671"
"environmental","manure/fertilizer","entire plant","671"
"environmental","cover crop","entire plant","671"
"animal food (feed)","vitamins","entire plant","681"
"animal food (feed)","minerals","entire plant","681"
"environmental","erosion control","entire plant","681"
"animal food (feed)","vitamins","entire plant","683"
"animal food (feed)","minerals","entire plant","683"
"environmental","pioneer","entire plant","685"
"food & beverage","vitamins","fruits","689"
"food & beverage","minerals","fruits","689"
"material","timber wood","bark","689"
"material","latex/rubber","stems","689"
"medicinal","metabolic system applications","seeds","689"
"medicinal","genitourinary system applications","seeds","689"
"medicinal","digestive system applications","seeds","689"
"medicinal","immune system applications","seeds","689"
"medicinal","immune system applications","fruits","689"
"medicinal","blood system applications","fruits","689"
"medicinal","digestive system applications","fruits","689"
"medicinal","metabolic system applications","stems","689"
"medicinal","digestive system applications","stems","689"
"environmental","ornamental/turf","entire plant","689"
"environmental","shade & shelter","entire plant","689"
